time,price
2025-05-20 07:08:09.940,2544.03483430021
2025-05-20 08:03:38.162,2531.92013089243
2025-05-20 09:03:53.439,2531.381103717653
2025-05-20 10:03:30.830,2531.288312362076
2025-05-20 11:03:54.169,2515.267111753899
2025-05-20 12:04:03.012,2514.696518916988
2025-05-20 13:03:38.686,2490.8595777583982
2025-05-20 14:03:41.980,2478.4674832257397
2025-05-20 15:03:31.947,2475.3544815257487
2025-05-20 16:06:20.111,2483.7599158034914
2025-05-20 17:03:32.833,2478.5386942519303
2025-05-20 18:03:55.061,2499.0372618997535
2025-05-20 19:03:22.760,2466.085801537128
2025-05-20 20:08:20.657,2494.8380772328223
2025-05-20 21:03:35.381,2511.1231478687814
2025-05-20 22:03:43.593,2507.6612680688354
2025-05-20 23:03:15.852,2507.8720468161687
2025-05-21 00:03:50.513,2523.24767489843
2025-05-21 01:03:52.718,2528.050576184124
2025-05-21 02:03:55.147,2541.291069851279
2025-05-21 03:03:16.619,2536.697601490177
2025-05-21 04:03:38.986,2548.161766234994
2025-05-21 05:03:32.758,2551.900933046908
2025-05-21 06:03:15.883,2590.67819507974
2025-05-21 07:03:40.853,2599.2199821675194
2025-05-21 08:03:29.923,2555.8608686763
2025-05-21 09:03:27.517,2545.8033419548515
2025-05-21 10:02:48.153,2523.7682367730577
2025-05-21 11:03:38.679,2528.309962491896
2025-05-21 12:03:46.733,2541.3551251387494
2025-05-21 13:03:43.020,2539.2013406221363
2025-05-21 14:03:23.937,2548.486680802275
2025-05-21 15:03:52.052,2558.638154583405
2025-05-21 16:01:14.088,2564.0141526781026
2025-05-21 17:03:15.932,2597.506070577838
2025-05-21 18:03:22.526,2482.411552280898
2025-05-21 19:03:34.433,2481.0411355559795
2025-05-21 20:03:40.906,2496.210938693532
2025-05-21 21:03:36.281,2500.485544629077
2025-05-21 22:02:26.903,2508.5572197534298
2025-05-21 23:03:50.760,2527.8488071736037
2025-05-22 00:03:07.995,2558.9502343769486
2025-05-22 01:03:29.530,2574.6791178033404
2025-05-22 02:03:45.338,2577.5889781478318
2025-05-22 03:04:00.008,2595.268606842277
2025-05-22 04:03:27.219,2631.273635768754
2025-05-22 05:03:50.994,2627.894620306613
2025-05-22 06:04:13.136,2632.0503668961355
2025-05-22 07:03:37.057,2611.6263576395104
2025-05-22 08:03:07.754,2629.6462561950707
2025-05-22 09:01:18.508,2659.5495194949453
2025-05-22 10:03:48.205,2667.699094754287
2025-05-22 11:08:07.605,2659.4547518829427
2025-05-22 12:03:39.719,2652.474099089489
2025-05-22 13:03:50.212,2654.6379481667664
2025-05-22 14:03:51.681,2646.8750386033585
2025-05-22 15:03:29.284,2661.845855623208
2025-05-22 16:03:47.525,2668.496207569373
2025-05-22 17:03:29.520,2651.7390120621217
2025-05-22 18:01:16.102,2659.7022533706263
2025-05-22 19:03:21.756,2663.1289804303956
2025-05-22 20:03:43.939,2635.3448266823652
2025-05-22 21:03:24.532,2639.866804635847
2025-05-22 22:03:51.703,2635.8168512789207
2025-05-22 23:03:44.585,2642.0511487892027
2025-05-23 00:04:02.027,2658.6712468472556
2025-05-23 01:04:19.269,2658.6087144792236
2025-05-23 02:03:51.451,2677.165258082105
2025-05-23 03:03:30.972,2711.7479951291475
2025-05-23 04:03:30.135,2720.7558201807396
2025-05-23 05:03:12.627,2693.6529145345285
2025-05-23 06:03:34.183,2693.379924579047
2025-05-23 07:03:15.164,2658.469916671048
2025-05-23 08:03:30.095,2658.172565956373
2025-05-23 09:03:21.800,2668.331596343401
2025-05-23 10:03:35.587,2683.398544301925
2025-05-23 11:03:31.580,2667.6448216820604
2025-05-23 12:03:29.035,2593.8389122424887
2025-05-23 13:03:32.284,2546.752667798416
2025-05-23 14:03:39.936,2578.2377307122433
2025-05-23 15:04:07.388,2581.0918119877333
2025-05-23 16:04:02.719,2575.173538289926
2025-05-23 17:04:02.166,2564.6157327839505
2025-05-23 18:04:01.393,2578.2811166524302
2025-05-23 19:03:54.236,2562.790648033313
2025-05-23 20:03:26.999,2565.5667105409457
2025-05-23 21:03:48.561,2546.3665793808823
2025-05-23 22:03:24.037,2540.685216007815
2025-05-23 23:03:40.893,2541.583536858652
2025-05-24 00:01:53.736,2519.813809045145
2025-05-24 01:03:34.484,2525.9232800611894
2025-05-24 02:03:34.939,2529.4061205459393
2025-05-24 03:00:17.657,2539.5523617456515
2025-05-24 04:08:41.203,2548.6633584389683
2025-05-24 05:04:07.122,2557.5502512585877
2025-05-24 06:01:37.930,2549.6212043549117
2025-05-24 07:03:28.576,2543.9595241839256
2025-05-24 08:03:47.997,2550.137350754068
2025-05-24 09:03:20.984,2554.4858908818073
2025-05-24 10:03:19.949,2557.21764855182
2025-05-24 11:08:33.049,2572.8314357517725
2025-05-24 12:02:04.907,2566.6496850697704
2025-05-24 13:03:51.250,2558.125381934164
2025-05-24 14:03:43.917,2553.4387332553447
2025-05-24 15:03:35.073,2557.9822522505146
2025-05-24 16:04:01.235,2554.4740446524825
2025-05-24 17:03:52.709,2557.886582395531
2025-05-24 18:03:45.265,2561.5602487284423
2025-05-24 19:03:39.048,2553.7921298239075
2025-05-24 20:08:13.970,2553.465195955638
2025-05-24 21:03:45.829,2553.3764346436215
2025-05-24 22:04:03.568,2538.1689211451053
2025-05-24 23:03:56.815,2531.5239102054193
2025-05-25 00:04:07.625,2529.763966464483
2025-05-25 01:03:42.474,2506.084058134636
2025-05-25 02:03:52.126,2499.8780847191415
2025-05-25 03:03:30.184,2505.62816115921
2025-05-25 04:03:40.304,2516.597196502024
2025-05-25 05:03:52.852,2516.1297572287885
2025-05-25 06:03:36.592,2512.8042115894773
2025-05-25 07:03:52.498,2506.877259364937
2025-05-25 08:03:57.895,2493.8853988467695
2025-05-25 09:03:47.694,2480.5366950706252
2025-05-25 10:03:37.516,2486.9131053538154
2025-05-25 11:04:07.093,2494.6803088880365
2025-05-25 12:03:38.739,2496.0710620663804
2025-05-25 13:02:33.677,2515.3534254513415
