time,open,high,low,close,volume
2025-05-31 23:00:00,2531.94,2546.91,2527.28,2529.11,141.78577282
2025-06-01 00:00:00,2529.33,2529.46,2516.55,2525.33,457.45839512
2025-06-01 01:00:00,2525.33,2529.99,2495.0,2508.58,1096.82553827
2025-06-01 02:00:00,2508.31,2512.97,2496.46,2508.07,550.52656718
2025-06-01 03:00:00,2507.48,2517.67,2495.58,2515.02,1495.47982576
2025-06-01 04:00:00,2514.75,2526.13,2513.04,2524.73,1130.56227034
2025-06-01 05:00:00,2524.74,2527.0,2517.26,2519.8,1403.29963427
2025-06-01 06:00:00,2519.8,2519.8,2511.36,2513.71,1026.86614134
2025-06-01 07:00:00,2513.71,2515.01,2507.9,2508.47,128.16123656
2025-06-01 08:00:00,2508.99,2510.99,2500.34,2505.49,93.48976971
2025-06-01 09:00:00,2505.5,2509.69,2480.0,2493.38,1290.43981286
2025-06-01 10:00:00,2493.88,2497.24,2488.55,2493.7,535.12124604
2025-06-01 11:00:00,2493.99,2504.01,2492.65,2497.76,1631.53261968
2025-06-01 12:00:00,2497.76,2500.35,2470.54,2483.99,1605.0159878
2025-06-01 13:00:00,2483.99,2498.86,2481.52,2493.81,473.46527311
2025-06-01 14:00:00,2493.81,2518.0,2493.81,2510.82,2339.93243208
2025-06-01 15:00:00,2510.83,2524.7,2505.5,2523.29,734.12286779
2025-06-01 16:00:00,2523.29,2547.35,2521.97,2539.13,2212.81681612
2025-06-01 17:00:00,2539.14,2545.99,2535.19,2541.43,281.05128291
2025-06-01 18:00:00,2541.43,2541.43,2495.7,2520.84,926.89074927
2025-06-01 19:00:00,2521.01,2526.37,2512.6,2526.37,246.52216961
2025-06-01 20:00:00,2526.37,2537.5,2521.32,2526.91,451.52411196
2025-06-01 21:00:00,2526.91,2540.37,2526.9,2540.37,1085.55592409
2025-06-01 22:00:00,2540.23,2547.14,2534.21,2535.22,266.76468293
2025-06-01 23:00:00,2535.22,2545.89,2534.93,2538.28,160.51863092
2025-06-02 00:00:00,2540.63,2540.63,2528.29,2534.45,254.77490951
2025-06-02 01:00:00,2534.46,2541.4,2527.07,2527.32,532.28371084
2025-06-02 02:00:00,2527.32,2527.61,2507.8,2510.01,1649.26968848
2025-06-02 03:00:00,2510.01,2510.99,2488.4,2497.99,1202.24704989
2025-06-02 04:00:00,2497.99,2501.44,2489.54,2491.55,605.49196564
2025-06-02 05:00:00,2491.56,2497.02,2486.02,2492.07,208.9587228
2025-06-02 06:00:00,2492.29,2504.94,2476.05,2495.66,8537.41609138
2025-06-02 07:00:00,2495.66,2513.71,2495.65,2506.91,232.73148909
2025-06-02 08:00:00,2506.92,2515.26,2492.8,2494.13,646.38426295
2025-06-02 09:00:00,2494.32,2494.32,2476.46,2482.25,1027.11425626
2025-06-02 10:00:00,2482.38,2490.64,2477.42,2483.02,424.58109678
2025-06-02 11:00:00,2483.02,2488.46,2477.74,2482.59,312.96909203
2025-06-02 12:00:00,2482.6,2499.08,2480.27,2499.07,226.29974975
2025-06-02 13:00:00,2499.08,2519.0,2490.0,2504.08,2156.43298422
