time,open,high,low,close,volume
2025-06-30 10:02:00,2450.0,2453.76,2450.0,2453.76,35.9452887
2025-06-30 10:03:00,2453.48,2453.48,2452.98,2453.13,0.825371
2025-06-30 10:04:00,2452.25,2452.25,2452.25,2452.25,0.15262037
2025-06-30 10:05:00,2452.25,2452.25,2452.25,2452.25,0.01304305
2025-06-30 10:06:00,2452.25,2452.84,2452.25,2452.84,0.14034876
2025-06-30 10:07:00,2452.84,2452.84,2452.84,2452.84,0.00944731
2025-06-30 10:08:00,2452.84,2452.84,2452.84,2452.84,0.0
2025-06-30 10:09:00,2452.84,2452.84,2452.84,2452.84,0.00041177
2025-06-30 10:10:00,2452.83,2452.83,2450.79,2450.79,16.90769233
2025-06-30 10:11:00,2451.35,2451.35,2451.35,2451.35,0.02619978
2025-06-30 10:12:00,2451.14,2452.72,2451.14,2452.72,4.53493834
2025-06-30 10:13:00,2452.72,2452.72,2450.46,2450.46,4.72265143
2025-06-30 10:14:00,2450.73,2451.0,2450.73,2451.0,1.36215
2025-06-30 10:15:00,2450.99,2450.99,2447.7,2448.22,8.44107803
2025-06-30 10:16:00,2448.22,2448.49,2448.22,2448.49,3.85039222
2025-06-30 10:17:00,2448.49,2448.49,2447.94,2447.94,1.91675563
2025-06-30 10:18:00,2447.99,2448.98,2447.99,2448.98,3.42619172
2025-06-30 10:19:00,2450.59,2451.28,2450.58,2451.28,4.87096631
2025-06-30 10:20:00,2451.28,2452.03,2451.28,2452.03,5.09774147
2025-06-30 10:21:00,2452.1,2452.1,2451.29,2451.29,11.90467562
2025-06-30 10:22:00,2452.53,2453.03,2452.53,2453.03,0.11047514
2025-06-30 10:23:00,2453.75,2453.76,2453.75,2453.76,0.59174924
2025-06-30 10:24:00,2453.76,2453.76,2453.76,2453.76,0.02027551
2025-06-30 10:25:00,2453.75,2453.75,2453.75,2453.75,0.00755023
2025-06-30 10:26:00,2453.76,2453.76,2453.75,2453.75,0.04144918
2025-06-30 10:27:00,2453.76,2453.76,2453.76,2453.76,0.00817928
2025-06-30 10:28:00,2453.76,2453.76,2453.76,2453.76,1.0
2025-06-30 10:29:00,2453.75,2453.75,2453.07,2453.07,4.10202396
2025-06-30 10:30:00,2452.28,2452.28,2452.28,2452.28,1.14919015
2025-06-30 10:31:00,2452.28,2452.29,2452.28,2452.29,0.02231958
2025-06-30 10:32:00,2452.29,2452.29,2451.86,2451.86,4.0203338
2025-06-30 10:33:00,2451.87,2451.87,2451.87,2451.87,0.0278833
2025-06-30 10:34:00,2451.87,2454.0,2451.87,2454.0,1.77227941
2025-06-30 10:35:00,2454.0,2454.0,2454.0,2454.0,0.04674438
2025-06-30 10:36:00,2454.0,2456.21,2454.0,2456.21,5.75503151
2025-06-30 10:37:00,2456.24,2457.11,2456.24,2457.1,0.99283168
2025-06-30 10:38:00,2457.11,2457.58,2457.11,2457.58,4.90409866
2025-06-30 10:39:00,2457.58,2457.58,2457.58,2457.58,7.84230185
2025-06-30 10:40:00,2458.31,2458.61,2457.36,2457.36,2.26724884
2025-06-30 10:41:00,2457.37,2457.37,2457.37,2457.37,0.01238871
2025-06-30 10:42:00,2457.37,2457.37,2457.37,2457.37,0.01514387
2025-06-30 10:43:00,2457.37,2457.37,2457.37,2457.37,0.0
